DATE_ID,erbs,EUtranCellFDD,DCVECTOR_INDEX,pmTaInit2Distr,Site_id,NE_id,Band_id,Sectoral,Sector_gabung,Distance,dfsum,Cumulative_Occurance,TA_Index
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML1,0,1029,BKT003,BKT003ML,L1800,1,1,(0 - 0.08) km,83113,1.238073466244751,TA0
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML1,1,8033,BKT003,BKT003ML,L1800,1,1,(0.08 - 0.23) km,83113,10.90322813518944,TA1
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML1,2,55053,BKT003,BKT003ML,L1800,1,1,(0.23 - 0.63) km,83113,77.1419633511003,TA2
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML1,3,10233,BKT003,BKT003ML,L1800,1,1,(0.63 - 1.01) km,83113,89.45411668451385,TA3
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML1,4,1506,BKT003,BKT003ML,L1800,1,1,(1.01 - 1.64) km,83113,91.2661075884639,TA4
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML1,5,7240,BKT003,BKT003ML,L1800,1,1,(1.64 - 2.42) km,83113,99.97713955698867,TA5
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML1,6,19,BKT003,BKT003ML,L1800,1,1,(2.42 - 3.36) km,83113,100.0,TA6
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML1,7,0,BKT003,BKT003ML,L1800,1,1,(3.36 - 4.45) km,83113,100.0,TA7
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML1,8,0,BKT003,BKT003ML,L1800,1,1,(4.45 - 5.70) km,83113,100.0,TA8
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML1,9,0,BKT003,BKT003ML,L1800,1,1,(5.70 - 7.18) km,83113,100.0,TA9
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML1,10,0,BKT003,BKT003ML,L1800,1,1,(7.18 - 8.74) km,83113,100.0,TA10
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML1,11,0,BKT003,BKT003ML,L1800,1,1,(8.74 - 10.5) km,83113,100.0,TA11
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML1,12,0,BKT003,BKT003ML,L1800,1,1,(10.5 - 12.5) km,83113,100.0,TA12
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML1,13,0,BKT003,BKT003ML,L1800,1,1,(12.5 - 14.6) km,83113,100.0,TA13
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML1,14,0,BKT003,BKT003ML,L1800,1,1,(14.6 - 16.9) km,83113,100.0,TA14
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML1,15,0,BKT003,BKT003ML,L1800,1,1,(16.9 - 19.4) km,83113,100.0,TA15
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML1,16,0,BKT003,BKT003ML,L1800,1,1,(19.4 - 22.0) km,83113,100.0,TA16
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML1,17,0,BKT003,BKT003ML,L1800,1,1,(22.0 - 24.8) km,83113,100.0,TA17
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML1,18,0,BKT003,BKT003ML,L1800,1,1,(24.8 - 27.9) km,83113,100.0,TA18
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML1,19,0,BKT003,BKT003ML,L1800,1,1,(27.9 - 31.3) km,83113,100.0,TA19
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML2,0,98,BKT003,BKT003ML,L1800,2,2,(0 - 0.08) km,48525,0.20195775373518804,TA0
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML2,1,9024,BKT003,BKT003ML,L1800,2,2,(0.08 - 0.23) km,48525,18.798557444616176,TA1
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML2,2,36721,BKT003,BKT003ML,L1800,2,2,(0.23 - 0.63) km,48525,94.47295208655332,TA2
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML2,3,2597,BKT003,BKT003ML,L1800,2,2,(0.63 - 1.01) km,48525,99.82483256053581,TA3
